N,P,K,temperature,humidity,ph,rainfall,label
88,66,41,18.137038,59.178277,6.7639,396.470782,Bugday
99,69,47,16.996645,55.41112,7.546659,396.684143,Bugday
88,51,39,19.28244,57.63965,7.120773,401.21086,Bugday
96,46,43,16.725997,54.536922,7.053143,394.827082,Bugday
99,66,46,17.230915,52.107161,7.1482,411.22541,Bugday
86,49,33,16.563827,56.111185,6.793261,381.11352,Bugday
105,58,52,19.292656,53.196278,7.426456,388.364155,Bugday
94,67,49,17.424563,58.592659,7.024785,399.6718,Bugday
115,66,32,18.852602,56.041004,7.216821,414.24633,Bugday
92,46,42,16.726886,58.605539,6.733671,418.374259,Bugday
116,60,32,18.226602,56.493013,7.034539,381.694332,Bugday
110,68,34,17.389904,51.889538,7.100137,388.019905,Bugday
106,67,40,18.62852,57.826493,7.12814,380.173423,Bugday
112,63,40,18.23434,57.070806,6.733096,382.537067,Bugday
104,63,43,18.9359,54.321049,7.046333,409.898161,Bugday
103,53,39,17.082766,58.080809,6.891886,410.830807,Bugday
86,62,33,17.599762,49.315799,7.172993,315.185383,Arpa
93,63,31,15.642619,47.083713,7.055555,315.736238,Arpa
101,65,45,15.880843,49.874418,7.766275,316.891546,Arpa
109,54,44,16.908812,50.136189,7.03221,318.753565,Arpa
78,38,51,16.814768,50.945211,7.762326,315.238979,Arpa
78,52,47,16.945796,49.088473,7.006538,317.807071,Arpa
109,58,44,17.827376,47.809549,7.639332,323.842894,Arpa
75,43,30,15.915808,52.064071,7.605836,317.55159,Arpa
107,46,45,16.518244,47.613805,7.762957,335.513696,Arpa
84,41,42,18.024053,48.947409,7.854029,331.291319,Arpa
76,60,35,16.237031,51.559494,7.599846,332.558175,Arpa
106,36,43,16.850476,49.929535,7.649222,338.393871,Arpa
88,56,50,17.000754,48.328629,7.344912,337.442443,Arpa
73,64,47,18.208712,51.00841,7.094283,343.254329,Arpa
81,46,35,16.282941,51.637885,7.370388,321.546325,Arpa
107,47,38,17.394306,51.58397,7.175613,330.36628,Arpa
81,41,43,17.553139,49.688959,7.837341,343.316054,Arpa
89,62,41,15.862528,47.71758,7.141746,322.457599,Arpa
103,51,51,17.862112,48.566052,7.897616,341.696171,Arpa
87,37,48,17.718493,47.840028,7.032375,340.822634,Arpa
70,39,34,17.841023,47.519672,7.215607,344.741961,Arpa
77,61,39,17.903275,51.778391,7.261323,332.861586,Arpa
92,41,42,16.952558,47.002958,7.514177,336.274252,Arpa
107,54,38,15.227525,47.417143,7.571203,341.786176,Arpa
82,60,30,15.969523,49.026889,7.836785,330.671797,Arpa
100,52,52,15.781298,46.526569,7.046543,335.486199,Arpa
102,37,46,16.268505,51.818816,7.398934,331.140854,Arpa
82,48,34,16.631782,47.054423,7.60487,325.404941,Arpa
103,39,37,16.867011,47.874066,7.250961,328.81276,Arpa
95,44,29,15.487164,46.883834,7.073275,328.215312,Arpa
81,62,31,17.057051,49.304435,7.50683,320.443535,Arpa
98,57,53,16.475242,48.399994,7.589667,320.120665,Arpa
100,53,41,18.113789,49.251972,7.151253,334.65073,Arpa
102,44,38,16.719061,51.187385,7.166327,329.668843,Arpa
92,43,31,17.331527,51.047524,7.588077,332.776549,Arpa
79,61,36,17.901864,48.851626,7.733978,338.283435,Arpa
106,51,41,18.251773,49.366195,7.129611,339.67347,Arpa
85,49,46,17.67682,51.966995,7.092764,337.969947,Arpa
91,43,49,17.147484,47.272278,7.728284,319.588996,Arpa
78,60,36,15.612164,50.292155,7.524589,331.728636,Arpa
87,59,51,16.068771,48.422641,7.112338,336.151062,Arpa
102,52,37,17.968455,51.393363,7.563457,318.938922,Arpa
94,49,36,16.20051,49.835417,7.046076,315.626433,Arpa
102,54,30,17.612914,51.596769,7.876508,342.153039,Arpa
90,38,32,17.135727,47.884012,7.371831,321.711882,Arpa
77,44,49,16.965065,47.89669,7.378659,344.801868,Arpa
98,65,35,15.932397,47.804097,7.328698,343.926711,Arpa
75,46,47,15.857135,51.044789,7.820964,335.856901,Arpa
101,50,29,18.214208,47.41541,7.332142,319.27698,Arpa
98,57,43,18.296981,49.370242,7.425396,320.146554,Arpa
74,43,32,18.20938,47.962774,7.202933,322.723083,Arpa
85,55,29,15.478691,50.027695,7.152558,327.791495,Arpa
76,44,29,15.65852,48.239549,7.11974,339.865693,Arpa
89,39,41,16.738409,46.828805,7.029326,334.204381,Arpa
80,57,44,16.82178,49.357636,7.84363,324.769996,Arpa
79,59,49,16.122391,48.665904,7.220955,325.695929,Arpa
91,60,37,16.088379,48.816677,7.555919,328.520414,Arpa
97,58,33,17.350209,50.616889,7.538095,325.520026,Arpa
82,56,29,16.980405,49.772018,7.694144,335.027104,Arpa
101,49,51,15.803925,48.31462,7.835661,315.955094,Arpa
94,64,47,17.454013,51.052996,7.802808,332.454774,Arpa
88,57,39,17.537543,47.140965,7.357578,319.962379,Arpa
82,54,39,17.457867,49.317046,7.123416,315.673868,Arpa
82,65,50,17.910074,48.092421,7.124883,320.135678,Arpa
86,56,53,17.631654,51.971295,7.503625,325.714007,Arpa
99,63,48,18.362559,51.815349,7.474285,326.912167,Arpa
80,49,37,17.7533,49.699594,7.138182,325.216087,Arpa
106,57,50,17.071043,47.560372,7.487102,335.329404,Arpa
81,48,30,16.922532,51.87285,7.62415,331.809059,Arpa
105,58,49,17.884954,49.841557,7.032273,344.923828,Arpa
81,35,46,15.659832,48.076215,7.214488,335.501794,Arpa
85,40,50,16.478712,51.484089,7.561666,333.650811,Arpa
100,59,31,15.349106,47.674062,7.297653,341.623557,Arpa
79,47,49,18.164566,47.59342,7.139042,330.266363,Arpa
90,47,34,16.879647,49.088069,7.232724,319.386493,Arpa
102,47,35,15.806882,51.389317,7.723906,320.037701,Arpa
74,53,33,18.318315,50.147855,7.857914,340.807672,Arpa
86,56,46,16.041171,46.851172,7.583115,344.447815,Arpa
94,61,29,17.4644,47.071915,7.399959,321.058441,Arpa
106,40,38,17.340273,49.19508,7.05024,331.831071,Arpa
67,47,22,23.968641,68.518435,6.246688,474.634329,Misir
90,54,23,22.638687,65.787752,6.150517,463.886962,Misir
66,50,18,22.326941,64.72233,6.134197,479.529375,Misir
84,54,21,22.375348,65.090747,6.543945,473.654297,Misir
86,47,20,24.565668,68.179061,6.51892,464.121867,Misir
80,48,21,26.000188,64.935836,6.301483,452.290707,Misir
83,56,24,24.184905,68.219238,6.645977,464.250814,Misir
79,60,23,22.38994,68.294001,6.707972,451.573433,Misir
77,54,25,21.738971,68.901859,6.298831,454.524809,Misir
82,55,22,23.61637,65.443576,6.760035,463.758247,Misir
80,56,25,23.022232,64.460921,6.453381,455.398448,Misir
97,46,19,22.622417,64.978185,6.349529,477.759958,Misir
83,58,22,22.37211,68.947926,6.198754,464.612299,Misir
86,58,24,25.891508,64.464234,6.243109,454.582592,Misir
83,57,24,25.037823,65.482183,6.873679,470.5375,Misir
92,61,25,25.009647,67.067627,6.111305,456.249264,Misir
67,54,20,25.907095,64.149316,6.478879,471.46345,Misir
76,43,23,25.516015,64.828338,6.517226,469.852296,Misir
71,50,19,24.100915,67.135523,6.046542,481.545811,Misir
76,46,23,23.634529,65.115737,6.892884,461.930074,Misir
76,61,18,24.223068,64.738312,6.123841,465.353922,Misir
90,51,19,24.372385,67.922618,6.03874,476.908704,Misir
75,56,18,25.701304,63.777704,6.036194,453.11935,Misir
82,44,23,25.880032,64.478627,6.422699,481.366871,Misir
84,43,19,26.227931,67.643754,6.319132,470.071253,Misir
88,43,25,24.298765,67.377799,6.63101,467.794341,Misir
86,46,19,21.854972,64.922454,6.66999,481.289961,Misir
97,60,19,22.757174,65.983472,6.195853,480.147905,Misir
91,53,19,25.917931,67.865252,6.728487,467.319071,Misir
71,60,21,26.140258,67.831508,6.386391,464.571542,Misir
79,48,24,23.176439,65.223878,6.602687,481.95265,Misir
76,51,21,25.612477,66.472769,6.813597,477.096565,Misir
86,60,19,25.07969,66.862192,6.224479,471.192239,Misir
70,57,21,22.921254,65.670318,6.061512,467.23957,Misir
78,53,20,24.215451,67.984342,6.599576,461.157772,Misir
65,54,20,24.15952,68.606859,6.485584,457.998453,Misir
76,59,20,22.610961,68.482532,6.071311,457.534314,Misir
93,55,23,22.362916,64.860122,6.060818,482.069807,Misir
71,44,22,25.330129,65.386611,6.881378,453.738011,Misir
91,56,23,24.967941,68.224567,6.592015,465.167464,Misir
79,54,21,25.08132,65.030101,6.421383,450.188235,Misir
71,47,24,24.87268,64.15623,6.53949,451.08752,Misir
69,60,23,25.444073,64.488925,6.745598,471.090275,Misir
85,53,23,23.381332,65.227842,6.410448,476.793141,Misir
83,54,21,25.463877,69.209029,6.204556,450.034601,Misir
84,59,22,24.683287,65.901788,6.888207,481.32768,Misir
92,58,22,21.631516,63.994315,6.547684,457.613886,Misir
89,60,24,21.585604,64.376422,6.724572,469.756723,Misir
76,59,23,26.076051,69.241406,6.742099,463.516203,Misir
69,60,20,25.190184,68.852402,6.311441,467.644985,Misir
71,43,19,22.272756,64.235117,6.2551,463.486395,Misir
70,61,21,22.381608,67.042685,6.279313,463.85939,Misir
96,53,25,21.813795,67.302084,6.484645,476.036693,Misir
67,49,23,24.327439,65.449867,6.770321,481.171911,Misir
90,54,18,22.603469,68.833533,6.844213,479.797813,Misir
78,58,24,23.528997,65.58226,6.610118,468.674864,Misir
97,43,18,22.599939,65.864205,6.068025,468.892047,Misir
77,60,21,22.124451,64.107005,6.695015,461.671346,Misir
68,49,18,21.716702,67.739516,6.6468,469.110254,Misir
84,47,25,22.650334,68.460001,6.662711,455.857629,Misir
96,54,25,21.648925,69.156658,6.491545,452.829086,Misir
72,46,23,25.170209,64.658479,6.239399,474.010203,Misir
70,46,19,23.546252,66.883016,6.072975,450.197783,Misir
93,58,19,21.799051,64.654525,6.027248,480.22829,Misir
67,52,20,24.144809,66.348847,6.565291,468.289416,Misir
73,43,23,23.796966,64.567823,6.783041,482.691002,Misir
76,48,21,21.79051,65.940492,6.270012,472.901985,Misir
84,46,22,23.623566,68.513658,6.60119,456.913354,Misir
95,49,25,25.400093,64.537553,6.099415,477.133403,Misir
65,44,22,23.364643,67.339355,6.163769,456.887298,Misir
67,44,20,23.773898,64.873177,6.472509,469.231195,Misir
93,58,19,23.547719,64.291524,6.581755,455.967677,Misir
70,45,24,23.439949,67.688028,6.12709,472.729318,Misir
86,44,24,24.353754,64.75483,6.840659,451.301846,Misir
81,49,19,23.132957,64.952217,6.336286,463.97066,Misir
68,55,20,23.219512,67.053783,6.451324,476.554129,Misir
83,50,22,23.773731,66.240913,6.219428,459.787621,Misir
76,54,23,22.983617,69.093672,6.216691,450.927083,Misir
82,47,20,24.718816,66.800218,6.738788,452.5904,Misir
86,51,21,26.173776,65.1063,6.510938,460.395041,Misir
77,34,33,15.15506,48.114544,6.424791,307.135198,Cavdar
79,45,35,14.91997,54.799414,6.595349,349.174575,Cavdar
69,49,43,14.917662,53.468769,6.885094,332.335704,Cavdar
74,36,33,15.978263,53.740384,6.468424,337.34031,Cavdar
79,39,42,14.941378,53.199041,6.838703,338.708366,Cavdar
80,31,32,15.089312,48.717636,6.858127,312.459282,Cavdar
68,34,29,15.846811,48.936528,6.360776,308.300029,Cavdar
87,47,45,14.973422,48.921036,6.045998,322.871455,Cavdar
74,43,43,16.033045,52.177511,6.593996,301.289463,Cavdar
86,49,32,15.646278,49.76516,6.107801,333.632056,Cavdar
79,38,36,14.610387,49.234907,6.725694,325.314282,Cavdar
80,41,31,17.285736,53.382996,6.59659,303.324346,Cavdar
86,43,40,14.955605,52.384754,5.895425,320.900786,Cavdar
77,37,37,15.86089,48.071847,5.939881,346.427821,Cavdar
76,33,44,16.783487,50.684929,6.283701,325.54527,Cavdar
90,30,28,14.393884,51.23134,5.895021,314.011916,Cavdar
87,48,33,15.498141,51.737048,6.659856,329.008952,Cavdar
64,35,35,14.556358,52.707727,6.483705,322.630021,Cavdar
62,36,26,16.135124,49.474354,6.240359,333.151141,Cavdar
73,32,37,16.82282,54.936859,6.453727,339.966424,Cavdar
84,35,36,15.799165,50.156707,6.540229,309.515734,Cavdar
70,45,35,15.36671,48.198678,6.959854,334.91858,Cavdar
73,38,39,14.393377,51.091494,6.261413,332.047057,Cavdar
76,42,39,17.205713,48.492847,6.645798,344.441361,Cavdar
66,31,39,16.666008,48.017571,6.651261,339.168019,Cavdar
60,35,27,14.134222,49.063792,6.942223,313.450955,Cavdar
77,45,35,15.760125,54.732731,6.686644,324.482007,Cavdar
61,48,26,16.90845,54.886897,6.868862,307.6306,Cavdar
70,49,31,17.000265,50.302411,6.861715,300.425989,Cavdar
74,32,25,15.765043,54.615763,6.756858,333.237024,Cavdar
66,35,25,15.630248,53.843624,6.271372,308.281242,Cavdar
71,43,26,16.348108,48.025818,5.89066,340.487943,Cavdar
74,33,36,14.574697,52.539823,6.594747,338.050746,Cavdar
70,46,26,15.629119,50.42983,6.700982,315.971819,Cavdar
61,36,25,16.165335,49.200343,6.603375,347.057809,Cavdar
89,45,31,17.269203,54.86134,5.834791,311.720589,Cavdar
70,48,35,14.866216,48.463514,6.799005,325.794282,Cavdar
79,49,42,15.880346,48.941724,6.798364,331.617598,Cavdar
77,39,28,17.34777,48.833133,5.841019,302.386731,Cavdar
80,39,29,14.14482,49.783458,6.547842,343.755258,Cavdar
73,42,27,15.538493,50.004208,6.187289,330.162116,Cavdar
77,46,28,14.497548,48.835391,6.521186,307.562889,Cavdar
75,34,42,14.171524,54.169097,6.301511,334.60861,Cavdar
82,40,33,15.7288,52.938492,6.1076,309.614634,Cavdar
85,46,33,14.530719,48.490278,6.292951,330.297053,Cavdar
75,36,33,16.59391,53.168912,6.134597,340.062735,Cavdar
60,46,36,17.219744,50.0257,6.765363,347.704447,Cavdar
72,30,43,16.037493,53.830131,6.447748,308.649962,Cavdar
64,40,25,17.392708,50.172381,6.818585,347.303826,Cavdar
88,31,41,14.663865,51.275347,6.907893,331.881269,Cavdar
60,34,30,16.371329,49.614514,6.730862,324.221619,Cavdar
72,34,27,17.027512,48.602862,6.329729,342.206518,Cavdar
82,41,43,14.200111,49.77975,5.925029,347.81005,Cavdar
82,48,41,15.850482,53.831838,6.515047,312.857343,Cavdar
78,43,35,15.777463,48.564642,5.961597,327.347533,Cavdar
62,42,28,17.188182,49.19783,6.201463,340.254093,Cavdar
86,38,26,15.746986,48.213986,6.605025,316.361543,Cavdar
77,44,27,15.800465,54.093569,6.471331,331.343496,Cavdar
65,33,25,16.837355,54.462936,6.982779,337.208177,Cavdar
65,45,29,17.055268,51.990832,6.778617,318.149559,Cavdar
60,46,33,16.146963,51.670356,6.308824,312.857734,Cavdar
63,42,44,14.242668,50.408656,6.300463,335.847899,Cavdar
79,36,42,17.436123,52.930998,6.181449,324.936579,Cavdar
81,36,32,15.896483,52.903129,6.609949,341.367822,Cavdar
62,39,40,15.759734,48.626826,6.8138,303.577566,Cavdar
71,31,43,16.263793,50.221279,6.914665,325.806527,Cavdar
85,36,38,16.845246,50.94684,6.163938,320.591162,Cavdar
70,49,39,17.400541,52.214749,6.186151,345.889839,Cavdar
79,31,45,14.341225,53.710684,6.728833,311.412014,Cavdar
73,32,27,17.339936,49.445033,6.864404,318.639519,Cavdar
82,42,27,16.943087,54.064445,5.903872,333.310173,Cavdar
82,35,33,16.100998,51.207163,6.944674,314.86283,Cavdar
70,45,42,14.786544,54.05235,6.024513,318.395686,Cavdar
80,49,33,17.116579,54.544902,6.276016,309.243007,Cavdar
83,30,32,17.077266,49.37052,6.21176,317.658575,Cavdar
67,39,42,15.464353,53.034058,5.943116,312.643319,Cavdar
83,45,41,15.075041,51.46452,6.263588,326.77517,Cavdar
88,31,37,17.396907,50.848338,6.128482,328.652806,Cavdar
88,38,44,17.207149,51.099562,6.35447,302.41067,Cavdar
64,32,39,15.995766,49.041435,6.268197,307.313701,Cavdar
63,46,20,18.548354,63.499438,6.124238,369.823322,Yulaf
54,36,32,16.637948,64.959312,6.588075,442.385557,Yulaf
70,42,38,17.141966,59.997823,6.566108,350.714482,Yulaf
54,31,32,16.353564,60.675569,6.686105,381.425928,Yulaf
80,44,35,18.315437,62.602177,6.924293,436.838115,Yulaf
76,44,21,17.095657,58.62667,6.650554,393.217598,Yulaf
50,50,20,15.398825,59.70235,6.691189,423.664557,Yulaf
68,37,33,17.29783,61.227373,6.619964,445.67244,Yulaf
64,30,27,18.631413,56.997383,7.126831,368.07086,Yulaf
67,53,40,15.9398,62.940891,7.297927,370.731126,Yulaf
81,55,29,18.894575,57.201282,6.721889,408.123782,Yulaf
60,41,33,17.063293,55.236422,6.663557,385.939605,Yulaf
50,54,36,17.617342,62.675644,5.869279,409.321493,Yulaf
55,52,22,17.469245,61.117828,7.229784,423.97252,Yulaf
59,54,22,18.491809,58.311145,7.479767,434.169338,Yulaf
63,32,22,18.205273,55.675675,6.205192,370.006942,Yulaf
81,44,37,18.307399,57.554921,6.130279,442.844534,Yulaf
57,53,23,16.185148,63.125296,6.004225,399.22543,Yulaf
84,40,20,17.319188,57.116023,6.848985,387.728928,Yulaf
52,47,22,15.271744,59.183248,6.416897,394.102034,Yulaf
71,50,20,15.651366,62.031069,5.647412,396.788656,Yulaf
50,32,20,15.660133,58.509493,6.75101,447.518744,Yulaf
85,34,27,18.560567,62.209444,6.854298,418.860869,Yulaf
56,51,28,16.997786,60.837383,7.417102,378.446168,Yulaf
76,30,39,18.339666,63.309906,5.868847,381.699352,Yulaf
84,53,21,15.448542,57.727071,7.232462,449.658877,Yulaf
75,34,21,16.886909,60.298875,5.653117,367.83061,Yulaf
85,43,24,18.282028,63.216625,6.765768,359.178816,Yulaf
84,39,21,16.033416,63.750749,6.435008,353.566151,Yulaf
72,36,29,18.764701,58.227981,6.546183,391.352257,Yulaf
79,42,21,18.743011,63.848444,7.292063,433.095759,Yulaf
65,35,35,18.653896,62.020285,6.574487,360.364666,Yulaf
70,52,24,17.171499,59.499182,5.803718,415.251632,Yulaf
55,49,36,17.875569,60.365433,7.399118,356.262671,Yulaf
62,38,23,16.791097,61.449325,7.177131,404.859138,Yulaf
66,35,39,15.651524,62.018674,7.205202,404.202325,Yulaf
83,51,28,15.635259,57.490567,7.053608,367.455701,Yulaf
64,53,29,17.047572,63.320851,6.135744,426.181325,Yulaf
83,35,28,16.750569,64.49628,5.894228,432.780153,Yulaf
83,52,20,18.060622,56.236194,5.680252,388.121545,Yulaf
59,40,37,18.34609,57.017134,7.083356,408.292327,Yulaf
72,35,21,17.917751,61.520461,6.990055,440.582406,Yulaf
60,42,31,16.499705,62.535369,5.909014,405.70518,Yulaf
66,30,35,18.948733,63.400024,6.861512,430.292851,Yulaf
79,55,21,17.127973,58.084189,5.889252,353.661467,Yulaf
82,40,34,15.621255,55.056962,7.219381,429.193844,Yulaf
55,33,22,17.271629,59.419279,6.827329,445.481729,Yulaf
72,55,32,16.075331,58.844658,6.931485,417.29106,Yulaf
74,50,20,18.039501,55.507425,6.682768,432.694801,Yulaf
79,31,25,18.942097,59.346287,6.460687,363.748611,Yulaf
74,54,29,15.882067,63.164158,7.440446,408.793419,Yulaf
51,42,27,17.58497,58.830716,5.748804,359.145509,Yulaf
60,30,34,15.702412,63.905783,5.984209,367.009991,Yulaf
56,35,40,16.539823,60.867941,6.236957,388.780278,Yulaf
55,53,25,15.976895,60.959133,6.967888,392.637118,Yulaf
68,39,40,18.543177,57.102397,6.813849,418.982608,Yulaf
55,38,20,16.91101,55.491634,6.764974,444.931328,Yulaf
84,46,24,18.084958,64.929666,5.908195,441.165613,Yulaf
53,42,20,16.318922,63.402143,6.947906,386.451145,Yulaf
59,43,30,16.651131,60.053301,7.407491,434.614303,Yulaf
52,51,22,15.943301,61.055494,6.84721,416.553764,Yulaf
52,34,28,18.812777,56.212154,6.888532,373.694874,Yulaf
79,40,37,15.987743,62.21114,6.70481,394.444111,Yulaf
54,45,36,18.301274,55.338225,5.873878,354.311007,Yulaf
70,48,22,17.841154,56.462232,6.607422,372.811502,Yulaf
84,52,35,16.741195,56.389847,7.217597,398.075755,Yulaf
79,34,20,18.490626,58.250421,6.563634,428.032665,Yulaf
65,46,39,16.395898,58.648033,6.526874,378.688154,Yulaf
57,55,37,17.502854,56.391356,7.457695,388.061054,Yulaf
65,38,31,15.309134,61.919688,5.577843,356.543588,Yulaf
59,30,32,16.015252,59.010764,7.083161,384.873236,Yulaf
55,43,23,16.337551,61.019277,7.092898,400.963123,Yulaf
50,51,29,16.83517,56.732838,7.019495,375.208115,Yulaf
54,55,38,18.407764,55.213334,7.429827,406.517901,Yulaf
83,41,24,16.928874,64.159944,6.06365,376.309634,Yulaf
54,43,20,17.768519,62.668314,6.87777,397.286921,Yulaf
72,37,21,18.98383,56.134851,7.057981,395.208733,Yulaf
51,50,28,17.554245,55.331692,6.857343,415.161532,Yulaf
75,48,33,18.057065,63.23724,6.066251,366.708118,Yulaf
85,47,32,18.385288,64.991624,6.910782,365.596087,Yulaf
69,44,48,17.754314,51.933721,7.434023,333.904824,Tritikale
99,36,26,16.817579,57.895617,6.845506,341.683891,Tritikale
62,44,45,18.349848,59.060694,7.202938,347.744205,Tritikale
75,46,31,15.998705,55.671002,6.227997,342.980136,Tritikale
71,51,33,18.060183,54.630737,7.309653,376.185928,Tritikale
72,44,30,15.534263,50.783731,7.002406,391.689289,Tritikale
90,47,31,18.281711,57.132686,6.586909,390.827687,Tritikale
64,56,35,17.10744,54.40517,7.453792,395.182524,Tritikale
62,59,48,17.203626,50.851263,6.801318,328.769013,Tritikale
74,43,42,17.321443,53.692359,7.215253,329.764307,Tritikale
77,43,33,15.307703,51.668612,6.658268,362.26871,Tritikale
89,48,33,17.412244,56.30075,7.186098,378.951188,Tritikale
68,39,28,18.295573,56.694515,6.471264,349.585307,Tritikale
72,47,28,16.806486,59.948714,7.142752,351.062989,Tritikale
82,51,50,18.959103,55.726702,6.089514,360.945369,Tritikale
84,50,32,17.663741,58.495258,6.753245,347.929713,Tritikale
89,51,46,18.621472,50.119432,6.043307,375.304546,Tritikale
96,37,33,15.268291,55.612717,6.670743,352.281554,Tritikale
79,54,33,16.511763,57.248331,7.102377,354.080921,Tritikale
96,37,49,18.195738,56.036151,6.824,374.304338,Tritikale
77,46,48,16.450004,52.299788,6.078014,339.408604,Tritikale
94,39,32,15.757069,57.453445,6.816932,331.992702,Tritikale
100,43,25,17.049105,53.224929,6.883409,382.527408,Tritikale
90,39,48,15.978504,51.904982,6.711476,361.991005,Tritikale
87,41,45,16.120054,53.792394,6.63453,327.743779,Tritikale
62,58,49,17.586,51.067219,6.478863,396.813981,Tritikale
65,60,50,17.67235,57.544476,6.308543,336.123544,Tritikale
66,49,38,18.496224,53.676266,6.289571,337.736435,Tritikale
65,45,28,17.289787,58.063099,6.694922,341.09075,Tritikale
73,52,47,18.933574,59.465853,6.122605,340.76154,Tritikale
77,57,48,17.432616,50.508457,6.292795,374.289115,Tritikale
94,47,40,18.648707,58.179599,6.887847,341.965232,Tritikale
96,54,46,17.783986,58.906969,7.149198,384.119972,Tritikale
72,53,28,15.988117,53.74447,7.015388,345.840779,Tritikale
87,55,38,15.81667,51.135002,7.377524,333.906306,Tritikale
87,36,47,16.07937,57.058009,7.066317,394.727309,Tritikale
95,48,28,15.56612,51.55059,7.468013,374.224871,Tritikale
94,40,28,17.566858,58.802691,7.353495,338.075482,Tritikale
80,41,50,18.039603,50.228698,7.003231,354.986279,Tritikale
95,41,42,16.545083,50.011336,7.21894,373.82111,Tritikale
84,50,37,18.471364,54.706562,7.216193,332.879463,Tritikale
63,55,35,16.555557,58.275167,6.484367,355.768541,Tritikale
82,58,37,16.328583,57.53971,7.196928,354.947795,Tritikale
69,51,36,17.132281,57.466908,7.448107,360.842328,Tritikale
61,40,30,16.401572,57.677604,7.037004,329.398543,Tritikale
72,50,25,17.81842,54.419529,7.059359,336.883896,Tritikale
